Name,Image,Position,Height,Weight,High School,City,Class,Offers,Interest,Recruited By,Twitter_profile,College Name:College Logo
Keon Keeley,https://s3media.247sports.com/Uploads/Assets/91/549/11549091.jpg?fit=crop&width=100&fit=crop,Edge,6-5,242,Berkeley Prep,"Tampa, FL",2023,0,{'Signed': 'Alabama'},"['Robert Gillespie', 'Coleman Hutzler']",@keon_keeley,"{'Alabama': 'https://s3media.247sports.com/Uploads/Assets/592/649/4649592.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Notre Dame': 'https://s3media.247sports.com/Uploads/Assets/207/648/4648207.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Ohio State': 'https://s3media.247sports.com/Uploads/Assets/330/917/8917330.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Arizona State': 'https://s3media.247sports.com/Uploads/Assets/891/472/8472891.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Florida': 'https://s3media.247sports.com/Uploads/Assets/863/84/11084863.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Florida State': 'https://s3media.247sports.com/Uploads/Assets/191/522/11522191.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Georgia': 'https://s3media.247sports.com/Uploads/Assets/605/649/4649605.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Georgia Tech': 'https://s3media.247sports.com/Uploads/Assets/197/648/4648197.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Kansas State': 'https://s3media.247sports.com/Uploads/Assets/284/648/4648284.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Louisville': 'https://s3media.247sports.com/Uploads/Assets/324/998/4998324.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Miami': 'https://s3media.247sports.com/Uploads/Assets/201/648/4648201.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Michigan': 'https://s3media.247sports.com/Uploads/Assets/794/510/10510794.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Mississippi State': 'https://s3media.247sports.com/Uploads/Assets/616/649/4649616.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'North Carolina': 'https://s3media.247sports.com/Uploads/Assets/602/120/8120602.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Ole Miss': 'https://s3media.247sports.com/Uploads/Assets/425/456/8456425.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Pittsburgh': 'https://s3media.247sports.com/Uploads/Assets/109/167/9167109.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Rutgers': 'https://s3media.247sports.com/Uploads/Assets/724/682/4682724.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Tennessee': 'https://s3media.247sports.com/Uploads/Assets/630/649/4649630.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'UCF': 'https://s3media.247sports.com/Uploads/Assets/486/682/4682486.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'USC': 'https://s3media.247sports.com/Uploads/Assets/624/114/8114624.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Virginia Tech': 'https://s3media.247sports.com/Uploads/Assets/212/648/4648212.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'West Virginia': 'https://s3media.247sports.com/Uploads/Assets/295/648/4648295.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop'}"
Caleb Downs,https://s3media.247sports.com/Uploads/Assets/90/549/11549090.jpg?fit=crop&width=100&fit=crop,S,6-0,195,Mill Creek,"Hoschton, GA",2023 - ...,34 Offers,{'Enrolled': 'Alabama'},"['Charles Kelly', 'Travaris Robinson']",@caleb_downs2,"{'Alabama': 'https://s3media.247sports.com/Uploads/Assets/592/649/4649592.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Georgia': 'https://s3media.247sports.com/Uploads/Assets/605/649/4649605.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Notre Dame': 'https://s3media.247sports.com/Uploads/Assets/207/648/4648207.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Ohio State': 'https://s3media.247sports.com/Uploads/Assets/330/917/8917330.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Arkansas': 'https://s3media.247sports.com/Uploads/Assets/672/698/9698672.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Auburn': 'https://s3media.247sports.com/Uploads/Assets/597/649/4649597.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Clemson': 'https://s3media.247sports.com/Uploads/Assets/565/682/4682565.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Florida': 'https://s3media.247sports.com/Uploads/Assets/863/84/11084863.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Florida A&M': 'https://s3media.247sports.com/Uploads/Assets/956/649/4649956.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Florida State': 'https://s3media.247sports.com/Uploads/Assets/191/522/11522191.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Georgia Tech': 'https://s3media.247sports.com/Uploads/Assets/197/648/4648197.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Indiana': 'https://s3media.247sports.com/Uploads/Assets/263/483/8483263.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Kent State': 'https://s3media.247sports.com/Uploads/Assets/534/263/11263534.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Kentucky': 'https://s3media.247sports.com/Uploads/Assets/962/698/9698962.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Louisville': 'https://s3media.247sports.com/Uploads/Assets/324/998/4998324.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'LSU': 'https://s3media.247sports.com/Uploads/Assets/869/32/8032869.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Miami': 'https://s3media.247sports.com/Uploads/Assets/201/648/4648201.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Michigan': 'https://s3media.247sports.com/Uploads/Assets/794/510/10510794.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Michigan State': 'https://s3media.247sports.com/Uploads/Assets/240/483/8483240.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Mississippi State': 'https://s3media.247sports.com/Uploads/Assets/616/649/4649616.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'NC State': 'https://s3media.247sports.com/Uploads/Assets/728/975/7975728.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Nebraska': 'https://s3media.247sports.com/Uploads/Assets/814/84/11084814.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'North Carolina': 'https://s3media.247sports.com/Uploads/Assets/602/120/8120602.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Oklahoma': 'https://s3media.247sports.com/Uploads/Assets/285/648/4648285.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Ole Miss': 'https://s3media.247sports.com/Uploads/Assets/425/456/8456425.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Oregon': 'https://s3media.247sports.com/Uploads/Assets/446/649/4649446.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Penn State': 'https://s3media.247sports.com/Uploads/Assets/328/648/4648328.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'South Carolina': 'https://s3media.247sports.com/Uploads/Assets/627/649/4649627.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Stanford': 'https://s3media.247sports.com/Uploads/Assets/954/472/8472954.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Tennessee': 'https://s3media.247sports.com/Uploads/Assets/630/649/4649630.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Texas': 'https://s3media.247sports.com/Uploads/Assets/487/456/8456487.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Texas A&M': 'https://s3media.247sports.com/Uploads/Assets/634/649/4649634.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'UCF': 'https://s3media.247sports.com/Uploads/Assets/486/682/4682486.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'USC': 'https://s3media.247sports.com/Uploads/Assets/624/114/8114624.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop'}"
Kadyn Proctor,https://s3media.247sports.com/Uploads/Assets/201/549/11549201.jpg?fit=crop&width=100&fit=crop,OT,6-7,330,Southeast Polk,"Des Moines, IA",2023 - ...,47 Offers,{'Enrolled': 'Alabama'},"['Freddie Roach', 'Eric Wolford']",@KadynProctor1,"{'Alabama': 'https://s3media.247sports.com/Uploads/Assets/592/649/4649592.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Arkansas State': 'https://s3media.247sports.com/Uploads/Assets/697/649/4649697.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Iowa': 'https://s3media.247sports.com/Uploads/Assets/539/682/4682539.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Oregon': 'https://s3media.247sports.com/Uploads/Assets/446/649/4649446.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Alabama A&M': 'https://s3media.247sports.com/Uploads/Assets/125/651/4651125.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Alabama State': 'https://s3media.247sports.com/Uploads/Assets/130/651/4651130.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Arizona': 'https://s3media.247sports.com/Uploads/Assets/433/649/4649433.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Arizona State': 'https://s3media.247sports.com/Uploads/Assets/891/472/8472891.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Arkansas': 'https://s3media.247sports.com/Uploads/Assets/672/698/9698672.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Auburn': 'https://s3media.247sports.com/Uploads/Assets/597/649/4649597.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'California': 'https://s3media.247sports.com/Uploads/Assets/793/955/7955793.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Campbell': 'https://s3media.247sports.com/Uploads/Assets/205/614/10614205.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Charlotte': 'https://s3media.247sports.com/Uploads/Assets/177/970/9970177.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Colorado': 'https://s3media.247sports.com/Uploads/Assets/440/649/4649440.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Florida': 'https://s3media.247sports.com/Uploads/Assets/863/84/11084863.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Florida A&M': 'https://s3media.247sports.com/Uploads/Assets/956/649/4649956.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Florida State': 'https://s3media.247sports.com/Uploads/Assets/191/522/11522191.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Georgia': 'https://s3media.247sports.com/Uploads/Assets/605/649/4649605.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Georgia Tech': 'https://s3media.247sports.com/Uploads/Assets/197/648/4648197.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Houston': 'https://s3media.247sports.com/Uploads/Assets/243/648/4648243.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Iowa State': 'https://s3media.247sports.com/Uploads/Assets/282/648/4648282.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Jackson State': 'https://s3media.247sports.com/Uploads/Assets/783/972/9972783.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Kansas State': 'https://s3media.247sports.com/Uploads/Assets/284/648/4648284.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Louisville': 'https://s3media.247sports.com/Uploads/Assets/324/998/4998324.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'LSU': 'https://s3media.247sports.com/Uploads/Assets/869/32/8032869.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Miami': 'https://s3media.247sports.com/Uploads/Assets/201/648/4648201.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Michigan': 'https://s3media.247sports.com/Uploads/Assets/794/510/10510794.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Michigan State': 'https://s3media.247sports.com/Uploads/Assets/240/483/8483240.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Minnesota': 'https://s3media.247sports.com/Uploads/Assets/324/648/4648324.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Mississippi State': 'https://s3media.247sports.com/Uploads/Assets/616/649/4649616.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Missouri': 'https://s3media.247sports.com/Uploads/Assets/515/682/4682515.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Nebraska': 'https://s3media.247sports.com/Uploads/Assets/814/84/11084814.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'North Carolina': 'https://s3media.247sports.com/Uploads/Assets/602/120/8120602.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Notre Dame': 'https://s3media.247sports.com/Uploads/Assets/207/648/4648207.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Ohio State': 'https://s3media.247sports.com/Uploads/Assets/330/917/8917330.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Oklahoma': 'https://s3media.247sports.com/Uploads/Assets/285/648/4648285.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Oklahoma State': 'https://s3media.247sports.com/Uploads/Assets/311/255/10255311.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Ole Miss': 'https://s3media.247sports.com/Uploads/Assets/425/456/8456425.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Penn State': 'https://s3media.247sports.com/Uploads/Assets/328/648/4648328.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'South Carolina': 'https://s3media.247sports.com/Uploads/Assets/627/649/4649627.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Tennessee': 'https://s3media.247sports.com/Uploads/Assets/630/649/4649630.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Texas': 'https://s3media.247sports.com/Uploads/Assets/487/456/8456487.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Texas A&M': 'https://s3media.247sports.com/Uploads/Assets/634/649/4649634.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Tulane': 'https://s3media.247sports.com/Uploads/Assets/601/468/8468601.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'USC': 'https://s3media.247sports.com/Uploads/Assets/624/114/8114624.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'USF': 'https://s3media.247sports.com/Uploads/Assets/246/648/4648246.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'West Virginia': 'https://s3media.247sports.com/Uploads/Assets/295/648/4648295.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop'}"
Justice Haynes,https://s3media.247sports.com/Uploads/Assets/946/548/11548946.jpg?fit=crop&width=100&fit=crop,RB,5-11,200,Buford,"Buford, GA",2023 - ...,36 Offers,{'Enrolled': 'Alabama'},['Robert Gillespie'],@justicehaynes6,"{'Alabama': 'https://s3media.247sports.com/Uploads/Assets/592/649/4649592.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Florida': 'https://s3media.247sports.com/Uploads/Assets/863/84/11084863.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Georgia': 'https://s3media.247sports.com/Uploads/Assets/605/649/4649605.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Ohio State': 'https://s3media.247sports.com/Uploads/Assets/330/917/8917330.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Arizona': 'https://s3media.247sports.com/Uploads/Assets/433/649/4649433.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Arkansas': 'https://s3media.247sports.com/Uploads/Assets/672/698/9698672.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Auburn': 'https://s3media.247sports.com/Uploads/Assets/597/649/4649597.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Clemson': 'https://s3media.247sports.com/Uploads/Assets/565/682/4682565.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Colorado': 'https://s3media.247sports.com/Uploads/Assets/440/649/4649440.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Duke': 'https://s3media.247sports.com/Uploads/Assets/356/33/8033356.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Florida State': 'https://s3media.247sports.com/Uploads/Assets/191/522/11522191.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Georgia Southern': 'https://s3media.247sports.com/Uploads/Assets/590/359/8359590.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Georgia State': 'https://s3media.247sports.com/Uploads/Assets/697/473/8473697.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Georgia Tech': 'https://s3media.247sports.com/Uploads/Assets/197/648/4648197.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Grambling State': 'https://s3media.247sports.com/Uploads/Assets/136/651/4651136.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Jackson State': 'https://s3media.247sports.com/Uploads/Assets/783/972/9972783.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Kentucky': 'https://s3media.247sports.com/Uploads/Assets/962/698/9698962.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Miami': 'https://s3media.247sports.com/Uploads/Assets/201/648/4648201.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Michigan': 'https://s3media.247sports.com/Uploads/Assets/794/510/10510794.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Missouri': 'https://s3media.247sports.com/Uploads/Assets/515/682/4682515.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Nebraska': 'https://s3media.247sports.com/Uploads/Assets/814/84/11084814.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Notre Dame': 'https://s3media.247sports.com/Uploads/Assets/207/648/4648207.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Oklahoma': 'https://s3media.247sports.com/Uploads/Assets/285/648/4648285.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Oregon': 'https://s3media.247sports.com/Uploads/Assets/446/649/4649446.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Penn State': 'https://s3media.247sports.com/Uploads/Assets/328/648/4648328.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'South Carolina': 'https://s3media.247sports.com/Uploads/Assets/627/649/4649627.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Stanford': 'https://s3media.247sports.com/Uploads/Assets/954/472/8472954.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Tennessee': 'https://s3media.247sports.com/Uploads/Assets/630/649/4649630.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Texas': 'https://s3media.247sports.com/Uploads/Assets/487/456/8456487.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Texas A&M': 'https://s3media.247sports.com/Uploads/Assets/634/649/4649634.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'UCF': 'https://s3media.247sports.com/Uploads/Assets/486/682/4682486.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'USC': 'https://s3media.247sports.com/Uploads/Assets/624/114/8114624.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Vanderbilt': 'https://s3media.247sports.com/Uploads/Assets/756/81/11081756.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Virginia': 'https://s3media.247sports.com/Uploads/Assets/494/240/11240494.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'West Virginia': 'https://s3media.247sports.com/Uploads/Assets/295/648/4648295.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop', 'Wisconsin': 'https://s3media.247sports.com/Uploads/Assets/332/648/4648332.png?fit=bounds&crop=50:50,offset-y0.50&width=50&height=50&fit=crop'}"
